地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途
大學路５３巷６弄１６號,112/03/03,220.0,26.4,8.35,75.80%,公寓(5樓含以下無電梯),13.0,一層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住家用
珠浦南路５０巷１１號二樓,112/03/02,605.0,28.2,21.42,72.94%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
後豐港３９之６號四樓,112/01/10,630.0,25.2,24.95,78.60%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路５０巷１１號三樓,111/12/27,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
珠浦南路５０巷１２號三樓,111/12/27,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
後豐港３９之６號三樓,111/12/26,630.0,25.2,24.95,78.60%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之５號三樓,111/12/21,650.0,26.3,24.72,78.40%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號二樓,111/12/14,655.0,20.4,32.16,73.70%,華廈(10層含以下有電梯),2.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２３０號三樓,111/12/12,485.0,20.6,23.5,73.75%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
後豐港３９之６號五樓,111/12/12,775.0,26.0,37.1,75.00%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,95.0,無,有,住家用
民權路２２６巷２弄１２號五樓之１,111/12/09,1060.0,26.5,47.17,67.49%,住宅大樓(11層含以上有電梯),6.0,五層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
後豐港３９之２號三樓,111/12/08,600.0,24.1,24.9,78.76%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之３號三樓,111/12/08,600.0,24.3,24.67,78.56%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
後豐港３９之２號四樓,111/12/08,600.0,24.1,24.9,78.76%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１０６之１０號二樓,111/11/30,500.0,19.8,25.2,73.11%,華廈(10層含以下有電梯),5.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路７４巷３７號四樓,111/11/22,930.0,28.7,32.42,77.81%,華廈(10層含以下有電梯),12.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２３０號,111/11/18,540.0,23.0,23.5,73.75%,公寓(5樓含以下無電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用
珠浦南路５０巷１１號,111/11/11,620.0,30.7,20.21,77.32%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
民權路７０巷１１弄２２號３樓,111/11/09,800.0,24.7,32.37,72.17%,華廈(10層含以下有電梯),25.0,三層/六層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
庵前４３之１號二樓,111/11/08,778.0,22.7,34.24,84.72%,華廈(10層含以下有電梯),7.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦南路５０巷１２號,111/11/04,620.0,30.7,20.21,77.32%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
珠浦南路５０巷１２號二樓,111/11/04,580.0,27.1,21.42,72.94%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,有,住家用
金門城２２８號二樓,111/11/01,480.0,20.4,23.5,73.75%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
西海路三段３９巷２弄３號二樓,111/11/01,660.0,20.5,32.21,73.74%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路１２２巷１弄６之１號四樓之１,111/10/26,350.0,32.2,10.85,75.08%,公寓(5樓含以下無電梯),12.0,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
小古崗１９之９號三樓,111/10/26,560.0,20.3,27.62,86.83%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城１１３之３號,111/10/20,375.0,15.2,24.7,88.50%,公寓(5樓含以下無電梯),10.0,一層/三層,房地(土地+建物),土:1 建:2車:0,2房2廳2衛,,無,無,住家用
山前１１之１號２樓,111/10/11,700.0,22.4,31.28,88.66%,公寓(5樓含以下無電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城２２８號三樓,111/10/06,490.0,20.8,23.5,73.75%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
山前１１之２號２樓,111/10/05,613.0,19.6,31.28,88.66%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路１２２巷１弄６號二樓,111/10/03,630.0,28.3,22.23,78.87%,公寓(5樓含以下無電梯),12.0,二層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
中興路１６１巷７號２樓,111/10/01,740.0,20.9,35.46,87.54%,公寓(5樓含以下無電梯),24.0,二層/五層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,無,無,住家用
西海路三段３９巷２弄５號五樓,111/09/27,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１０３之５號二樓,111/09/23,590.0,18.9,31.22,73.48%,華廈(10層含以下有電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城８９之２號三樓,111/09/14,460.0,20.6,22.38,85.22%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用
金門城３０之１號二樓,111/09/06,600.0,19.8,30.35,82.74%,公寓(5樓含以下無電梯),12.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
山前１１之２號１樓,111/09/01,648.0,21.4,30.29,91.56%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城１０３之３號二樓,111/08/26,590.0,18.9,31.22,73.48%,華廈(10層含以下有電梯),1.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄２號四樓,111/08/24,660.0,20.5,32.16,73.70%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前１１之１號３樓,111/08/18,750.0,24.0,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金山路１２１巷１６弄２２號二樓,111/08/17,870.0,21.6,40.19,80.55%,公寓(5樓含以下無電梯),8.0,二層/三層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用
珠浦西路２８巷２弄５號三樓,111/07/29,900.0,24.3,37.0,80.75%,華廈(10層含以下有電梯),22.0,三層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,有,有,住家用
金門城１０６之１０號三樓,111/07/08,520.0,20.6,25.2,73.11%,公寓(5樓含以下無電梯),4.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
環島北路一段３８巷１弄５號３樓,111/07/07,690.0,19.8,34.88,80.16%,公寓(5樓含以下無電梯),26.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用
金門城２２７號,111/07/05,535.0,22.8,23.5,73.75%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城１０３之３號,111/07/02,600.0,21.1,28.47,80.60%,公寓(5樓含以下無電梯),1.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
金門城１０３之３號三樓,111/06/26,600.0,19.2,31.22,73.48%,華廈(10層含以下有電梯),1.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
山前１１之２號３樓,111/06/23,635.0,20.3,31.28,88.66%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城１０６之１０號四樓,111/06/10,580.0,23.0,25.2,73.11%,華廈(10層含以下有電梯),4.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用
金門城１０６之７號三樓,111/06/08,590.0,19.6,30.07,81.17%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住家用
中興路２０５巷６號六樓,111/06/03,940.0,26.1,36.01,72.58%,華廈(10層含以下有電梯),12.0,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
山前２之２號５樓,111/05/12,670.0,23.3,28.74,77.59%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
西海路三段３９巷２弄２號五樓,111/05/12,660.0,20.5,32.16,73.70%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄５號三樓,111/05/05,598.0,15.9,37.66,59.13%,公寓(5樓含以下無電梯),5.0,三層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,無,無,住家用
民權路２２６巷２弄１２號三樓之３,111/04/29,1280.0,30.4,48.21,68.44%,住宅大樓(11層含以上有電梯),5.0,三層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
民權路１２２巷１弄６號四樓之１,111/04/29,340.0,31.3,10.85,75.08%,公寓(5樓含以下無電梯),11.0,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
金門城８８之３號,111/04/29,555.0,19.8,28.05,81.70%,公寓(5樓含以下無電梯),8.0,一層/三層,房地(土地+建物),土:1 建:2車:0,3房1廳2衛,,無,無,住家用
金門城２３０號,111/04/27,540.0,23.0,23.5,73.75%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２７號五樓,111/04/20,520.0,22.1,23.5,73.75%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
大古崗１２６號,111/04/19,540.0,18.6,29.0,71.70%,公寓(5樓含以下無電梯),2.0,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用
西海路三段３９巷２弄３號三樓,111/04/14,660.0,20.5,32.21,73.74%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之１號５樓,111/04/13,670.0,23.3,28.74,77.59%,華廈(10層含以下有電梯),1.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
民權路２２６巷４弄１５號５樓,111/04/06,780.0,26.2,29.76,80.42%,公寓(5樓含以下無電梯),13.0,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
前水頭１３９之１號二樓,111/03/30,1390.0,22.2,62.56,80.43%,公寓(5樓含以下無電梯),10.0,二層/三層,房地(土地+建物),土:2 建:2車:0,,,無,無,住家用
庵前４３之５號三樓,111/03/25,320.0,22.2,14.44,86.01%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
大學路５３巷６弄９號二樓,111/03/25,250.0,20.8,12.01,71.51%,公寓(5樓含以下無電梯),12.0,二層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,無,住家用
民權路２２６巷２弄１２號五樓之７,111/03/15,1088.0,21.6,55.12,53.56%,,5.0,五層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
珠浦南路５０巷３弄７號五樓,111/03/10,407.0,25.1,16.2,63.14%,華廈(10層含以下有電梯),7.0,五層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用
庵前５３之５號二樓,111/03/04,690.0,20.9,33.01,87.16%,公寓(5樓含以下無電梯),4.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
金門城１０３之５號,111/02/22,580.0,20.4,28.47,80.60%,華廈(10層含以下有電梯),1.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
浴井２６號二樓,111/02/16,600.0,21.6,27.79,83.62%,公寓(5樓含以下無電梯),4.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
大學路５３巷６弄１６號,111/01/19,180.0,21.6,8.35,75.80%,公寓(5樓含以下無電梯),12.0,一層/三層,房地(土地+建物),土:2 建:1車:0,1房0廳1衛,,無,無,住家用
民權路２２６巷４弄６號二樓,111/01/19,850.0,24.6,34.52,73.57%,華廈(10層含以下有電梯),9.0,二層/七層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用
民權路２２６巷２弄１２號七樓之２,111/01/18,850.0,45.1,26.05,70.74%,住宅大樓(11層含以上有電梯),5.0,七層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,100.0,有,有,住家用
小古崗１９之９號二樓,111/01/06,580.0,21.0,27.62,86.83%,公寓(5樓含以下無電梯),5.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
大古崗１２６號五樓,111/01/04,520.0,17.2,30.17,68.91%,華廈(10層含以下有電梯),2.0,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦西路６巷２弄１號五樓,110/12/17,710.0,28.8,24.65,62.01%,華廈(10層含以下有電梯),9.0,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
金門城１０３之５號三樓,110/12/13,580.0,18.6,31.22,73.48%,華廈(10層含以下有電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
西海路三段３９巷２弄５號三樓,110/12/02,665.0,20.7,32.16,73.70%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號四樓之１,110/12/01,1080.0,27.0,45.69,67.50%,住宅大樓(11層含以上有電梯),5.0,四層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
金門城２２８號三樓,110/12/01,485.0,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２８號四樓,110/12/01,500.0,21.3,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２８號五樓,110/12/01,500.0,21.3,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２９號,110/12/01,540.0,23.0,23.5,73.75%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２９號二樓,110/12/01,500.0,21.3,23.5,73.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２９號三樓,110/12/01,485.0,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２９號四樓,110/12/01,465.0,19.8,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２２９號五樓,110/12/01,520.0,22.1,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２３０號二樓,110/12/01,480.0,20.4,23.5,73.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２３０號三樓,110/12/01,485.0,20.6,23.5,73.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２３０號四樓,110/12/01,470.0,20.0,23.5,73.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城２３０號五樓,110/12/01,520.0,22.1,23.5,73.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
西海路三段３９巷２弄３號五樓,110/11/30,700.0,21.7,32.21,73.74%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城３０之９號三樓,110/11/26,530.0,17.3,30.63,81.99%,公寓(5樓含以下無電梯),11.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號六樓之２,110/11/24,830.0,28.0,36.97,70.73%,住宅大樓(11層含以上有電梯),5.0,六層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,100.0,有,有,住家用
賢聚４２之５號三樓,110/11/22,660.0,21.2,31.09,76.29%,華廈(10層含以下有電梯),4.0,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
富康一村９巷１８號三樓之１,110/11/16,310.0,26.4,11.75,64.39%,公寓(5樓含以下無電梯),13.0,三層/五層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
西海路三段３９巷２弄３號四樓,110/11/11,660.0,20.5,32.21,73.74%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號四樓之７,110/11/09,1000.0,27.6,36.25,67.50%,住宅大樓(11層含以上有電梯),5.0,四層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
金門城８８之９號五樓,110/11/08,460.0,19.5,23.56,80.58%,華廈(10層含以下有電梯),2.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,有,住家用
山前２之２號２樓,110/11/03,670.0,20.6,32.5,77.54%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城１１３之３號三樓,110/11/02,370.0,13.5,27.33,79.98%,公寓(5樓含以下無電梯),9.0,三層/三層,房地(土地+建物),土:1 建:2車:0,2房1廳2衛,,無,無,住家用
大古崗１２６號二樓,110/10/28,500.0,16.6,30.17,68.91%,華廈(10層含以下有電梯),1.0,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄６號二樓,110/10/06,655.0,15.0,43.67,62.32%,公寓(5樓含以下無電梯),5.0,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,無,無,住家用
庵前４２之２號,110/10/01,850.0,23.7,35.81,74.96%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之３號,110/09/30,805.0,22.5,35.81,74.96%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２５之３號三樓,110/09/27,209.0,20.8,10.05,83.44%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
山前２之２號３樓,110/09/25,665.0,20.5,32.5,77.54%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號六樓之６,110/09/14,742.0,28.5,26.05,70.74%,住宅大樓(11層含以上有電梯),5.0,六層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號四樓之２,110/09/08,800.0,30.7,26.05,70.74%,住宅大樓(11層含以上有電梯),5.0,四層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
金門城６８之６號三樓,110/09/08,455.0,17.9,25.41,82.93%,公寓(5樓含以下無電梯),5.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
金門城３０之９號二樓,110/09/07,495.0,16.2,30.53,82.25%,公寓(5樓含以下無電梯),11.0,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
西海路三段３９巷２弄２號四樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號二樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段３９巷２弄５號四樓,110/08/23,680.0,21.1,32.16,73.70%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４３之２號二樓,110/08/18,410.0,20.6,19.95,88.05%,公寓(5樓含以下無電梯),6.0,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用
西海路三段１０６巷１７弄５號,110/08/09,530.0,17.3,30.65,65.17%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
小西門７６之２號,110/08/01,940.0,21.9,42.89,79.72%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
庵前９之１號五樓,110/07/23,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號五樓,110/07/23,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之１號,110/07/22,680.0,24.1,28.25,84.33%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號二樓,110/07/20,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之５號,110/07/17,620.0,24.4,25.36,91.40%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號三樓,110/07/17,615.0,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之２號,110/07/17,690.0,24.4,28.25,84.33%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號四樓,110/07/17,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
