地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途
庵前９之３號二樓,110/07/16,680.0,21.8,31.25,76.81%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之３號三樓,110/07/16,689.0,22.1,31.25,76.81%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號二樓,110/07/16,615.0,21.9,28.03,83.59%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之６號,110/07/15,615.0,24.0,25.63,91.41%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號四樓,110/07/15,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之３號,110/07/15,680.0,24.2,28.09,85.43%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之５號二樓,110/07/15,615.0,22.2,27.76,83.51%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號二樓,110/07/15,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之５號三樓,110/07/15,620.0,22.3,27.76,83.51%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
庵前９之１號三樓,110/07/14,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
庵前９之２號三樓,110/07/14,680.0,22.2,30.64,77.75%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之１號３樓,110/07/13,660.0,20.3,32.5,77.54%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之２號４樓,110/07/05,670.0,20.6,32.5,77.54%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
山前２之１號４樓,110/07/05,670.0,20.6,32.5,77.54%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２０６號二樓,110/07/03,590.0,20.8,28.32,75.00%,華廈(10層含以下有電梯),2.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
小古崗１９之９號,110/07/03,600.0,23.0,26.09,91.93%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
小西門５之１號,110/06/22,520.0,20.5,25.33,87.32%,公寓(5樓含以下無電梯),1.0,一層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳3衛,,無,無,住家用
金門城５之１１號,110/06/01,349.0,19.4,17.98,85.48%,公寓(5樓含以下無電梯),6.0,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
大古崗１２６號四樓,110/05/22,510.0,16.9,30.17,68.91%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
金門城５之１０號三樓,110/05/19,310.0,15.8,19.58,78.51%,公寓(5樓含以下無電梯),6.0,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
庵前４２之３號五樓,110/05/17,735.0,20.5,35.81,74.96%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之３號二樓,110/05/16,700.0,19.5,35.81,74.96%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之３號三樓,110/05/16,700.0,19.5,35.81,74.96%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之３號四樓,110/05/15,700.0,19.5,35.81,74.96%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄７號,110/04/30,630.0,15.2,41.42,65.62%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,無,無,住家用
庵前４２之２號五樓,110/04/19,740.0,20.7,35.81,74.96%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄１０號二樓,110/04/17,538.0,14.1,38.28,58.68%,公寓(5樓含以下無電梯),4.0,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號六樓之１,110/04/07,1115.0,28.0,47.17,67.49%,住宅大樓(11層含以上有電梯),4.0,六層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
民權路２２６巷２弄１２號三樓之１,110/04/07,1238.0,30.0,48.83,64.54%,住宅大樓(11層含以上有電梯),4.0,三層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
民權路２２６巷２弄１２號三樓之７,110/04/07,1338.0,30.0,59.76,64.54%,住宅大樓(11層含以上有電梯),4.0,三層/十一層,房地(土地+建物)+車位,土:2 建:1車:2,3房2廳2衛,200.0,有,有,住家用
西海路三段１０６巷１７弄１０號,110/03/30,538.0,15.4,34.89,65.17%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用
金門城２０５號五樓,110/03/25,550.0,19.7,27.98,76.39%,華廈(10層含以下有電梯),2.0,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
金門城８８之８號四樓,110/03/19,645.0,19.4,33.33,80.34%,公寓(5樓含以下無電梯),1.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
大古崗１２７號三樓,110/03/18,500.0,17.2,29.1,80.05%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號七樓之６,110/03/17,780.0,29.9,26.05,70.74%,住宅大樓(11層含以上有電梯),4.0,七層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號三樓之６,110/03/12,750.0,28.8,26.05,70.75%,住宅大樓(11層含以上有電梯),4.0,三層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號七樓之１,110/03/02,1110.0,31.0,35.83,68.31%,住宅大樓(11層含以上有電梯),4.0,七層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
金門城３０之６號,110/02/25,465.0,15.3,30.34,82.13%,公寓(5樓含以下無電梯),10.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城８８之１０號四樓,110/02/24,503.0,19.0,26.41,77.50%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
小西門５０之５號,110/02/01,510.0,12.9,39.45,88.80%,公寓(5樓含以下無電梯),3.0,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
庵前２９之７號三樓之１,110/01/31,420.0,21.5,19.58,88.55%,公寓(5樓含以下無電梯),4.0,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用
大古崗１２７號四樓,110/01/26,520.0,17.9,29.1,80.05%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
浴井５２號,110/01/22,640.0,21.5,29.81,80.62%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
小西門５０之２號,110/01/18,480.0,12.2,39.45,88.80%,公寓(5樓含以下無電梯),2.0,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
小西門５０之３號,110/01/18,500.0,12.0,41.83,90.86%,公寓(5樓含以下無電梯),2.0,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用
西海路三段３９巷２弄１６號１樓,109/12/31,539.8,18.2,29.69,91.09%,公寓(5樓含以下無電梯),26.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
珠浦西路５０巷１３弄１３號４樓,109/12/31,700.0,21.0,33.32,82.67%,公寓(5樓含以下無電梯),22.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
民權路３０巷３弄１號四樓,109/12/28,550.0,18.3,29.98,78.69%,公寓(5樓含以下無電梯),14.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
珠浦西路２８巷２弄６號三樓,109/12/26,890.0,24.3,36.67,80.31%,華廈(10層含以下有電梯),21.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
小西門７６之１號,109/12/23,908.3,22.9,39.68,82.73%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之１號二樓,109/12/23,730.0,17.5,41.61,78.88%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之１號三樓,109/12/23,730.0,17.5,41.61,78.88%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,有,住家用
小西門７６之１號四樓,109/12/23,735.0,17.7,41.61,78.88%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之１號五樓,109/12/23,775.0,18.6,41.61,78.88%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之２號二樓,109/12/23,815.0,19.0,42.89,79.72%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之２號三樓,109/12/23,830.0,19.4,42.89,79.72%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之２號四樓,109/12/23,775.0,18.1,42.89,79.72%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
小西門７６之２號五樓,109/12/23,775.0,18.1,42.89,79.72%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
金門城８８之８號三樓,109/12/20,663.0,19.9,33.33,80.34%,華廈(10層含以下有電梯),1.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２０３號二樓,109/12/15,428.0,20.4,21.0,81.05%,華廈(10層含以下有電梯),2.0,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,有,住家用
浴井２６號,109/11/26,640.0,24.8,25.83,93.43%,公寓(5樓含以下無電梯),3.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
山前６８號,109/11/25,500.0,19.9,25.19,77.95%,華廈(10層含以下有電梯),6.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
慈湖路一段１巷１２號二樓,109/11/20,500.0,23.5,21.25,51.27%,華廈(10層含以下有電梯),6.0,二層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,有,住家用
民權路２２６巷２弄１２號六樓之７,109/11/07,1188.0,30.0,47.17,67.49%,住宅大樓(11層含以上有電梯),4.0,六層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
小西門５之１號二樓,109/11/04,510.0,19.0,26.87,82.32%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物),土:1 建:2車:0,3房2廳3衛,,無,無,住家用
中興路１６１巷１７號３樓,109/11/03,730.0,25.0,29.24,79.37%,公寓(5樓含以下無電梯),22.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民生路２５號９樓之８,109/11/03,650.0,22.8,28.48,71.61%,住宅大樓(11層含以上有電梯),20.0,九層/十二層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,有,住家用
珠浦西路５０巷１１弄１０號三樓之２,109/11/02,280.0,22.2,12.63,64.65%,公寓(5樓含以下無電梯),11.0,三層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用
大古崗１２７號二樓,109/10/28,540.0,18.6,29.1,80.05%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
金門城２０５號二樓,109/10/26,550.0,19.7,27.98,76.39%,華廈(10層含以下有電梯),2.0,二層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,有,住家用
大學路５３巷６弄１號三樓之１,109/10/14,250.0,25.9,9.65,77.81%,公寓(5樓含以下無電梯),11.0,三層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,無,無,住家用
金門城８８之８號五樓,109/10/11,681.0,20.4,33.33,80.34%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號九樓之１,109/09/29,1750.0,31.8,70.56,66.85%,住宅大樓(11層含以上有電梯),4.0,九層/十一層,房地(土地+建物)+車位,土:2 建:1車:2,4房2廳2衛,200.0,有,有,住家用
民權路２２６巷２弄１２號九樓之５,109/09/22,1700.0,32.8,59.63,66.85%,住宅大樓(11層含以上有電梯),4.0,九層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳2衛,100.0,有,有,住家用
大古崗１２８號二樓,109/09/21,501.0,17.2,29.06,79.65%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
大古崗１２８號五樓,109/09/19,560.0,19.3,29.06,79.65%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
小西門５０之６號,109/09/17,610.0,14.6,41.83,90.86%,公寓(5樓含以下無電梯),2.0,"一層,地下一層/三層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
金門城８９之６號,109/09/15,410.0,23.4,17.53,86.52%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
大古崗１２７號,109/09/14,530.0,19.1,27.82,83.74%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
珠浦西路６巷６弄６號５樓,109/09/14,420.0,19.3,21.71,76.09%,公寓(5樓含以下無電梯),11.0,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用
山前３１號,109/09/07,150.0,12.7,11.82,100.00%,公寓(5樓含以下無電梯),24.0,"一層,二層,三層/三層",房地(土地+建物),土:1 建:1車:0,5房1廳5衛,,無,無,住家用
小古崗１９之９號三樓,109/08/31,550.0,19.9,27.62,86.83%,公寓(5樓含以下無電梯),3.0,三層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
大古崗１２７號五樓,109/08/26,510.0,17.5,29.1,80.05%,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
西海路三段１０６巷１７弄１０號,109/08/25,480.0,13.8,34.89,65.17%,公寓(5樓含以下無電梯),3.0,一層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用
西海路三段１０６巷１７弄１０號二樓,109/08/25,460.0,12.0,38.28,58.68%,公寓(5樓含以下無電梯),,二層/三層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,,無,無,住家用
民權路１８４巷３弄２號二樓,109/08/24,848.0,25.2,33.71,81.43%,華廈(10層含以下有電梯),13.0,二層/五層,房地(土地+建物),土:1 建:1車:0,4房1廳2衛,,有,有,住家用
民權路２２６巷４弄７號六樓,109/08/20,920.0,26.7,34.52,73.57%,華廈(10層含以下有電梯),7.0,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用
金門城８８之９號,109/08/14,430.0,18.3,23.51,80.53%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城８８之１０號,109/08/14,437.0,18.6,23.43,87.32%,華廈(10層含以下有電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
金門城８８之９號二樓,109/08/13,430.0,18.2,23.56,80.58%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
民生路２５號９樓之７,109/08/13,787.0,24.9,31.66,72.21%,住宅大樓(11層含以上有電梯),20.0,九層/十二層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用
民權路１８４巷６弄２號５樓,109/08/12,1120.0,25.0,44.72,74.45%,華廈(10層含以下有電梯),12.0,"五層,見其他登記事項/五層",房地(土地+建物),土:2 建:1車:0,3房2廳3衛,,有,有,住家用
金門城８９之６號三樓,109/08/01,413.0,21.8,18.91,80.20%,公寓(5樓含以下無電梯),4.0,三層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
小西門５０之２號三樓,109/07/29,535.0,17.4,30.69,81.43%,公寓(5樓含以下無電梯),,三層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
浴井５５號二樓,109/07/20,610.0,19.0,32.15,73.92%,華廈(10層含以下有電梯),,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號八樓之１,109/07/15,1660.0,32.0,59.63,66.86%,住宅大樓(11層含以上有電梯),4.0,八層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳2衛,100.0,有,有,住家用
金門城８８之９號四樓,109/07/13,465.0,19.7,23.56,80.58%,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用
庵前２９之７號二樓之１,109/07/02,420.0,21.5,19.58,88.55%,公寓(5樓含以下無電梯),3.0,二層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用
民權路２００號四樓,109/06/28,720.0,24.2,29.78,63.67%,華廈(10層含以下有電梯),2.0,四層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳2衛,,無,有,住家用
民權路２２６巷２弄１２號四樓之６,109/06/19,746.0,28.6,26.05,70.74%,住宅大樓(11層含以上有電梯),,四層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號四樓之５,109/06/18,1220.0,17.3,75.75,69.36%,住宅大樓(11層含以上有電梯),4.0,四層/十一層,房地(土地+建物)+車位,土:2 建:2車:1,3房2廳2衛,100.0,有,有,住家用
浴井５１號四樓,109/06/08,610.0,20.1,30.27,79.96%,華廈(10層含以下有電梯),1.0,四層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號七樓之３,109/06/03,1355.0,32.4,49.69,68.44%,住宅大樓(11層含以上有電梯),4.0,七層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,有,住家用
民權路２２６巷２弄１２號七樓之７,109/06/03,1147.0,32.0,35.83,68.30%,住宅大樓(11層含以上有電梯),4.0,七層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用
金門城２０５號,109/05/30,500.0,17.9,27.98,76.41%,華廈(10層含以下有電梯),1.0,一層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
民權路２０２號四樓,109/05/26,750.0,25.2,29.72,63.79%,華廈(10層含以下有電梯),2.0,四層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳2衛,,無,無,住家用
民權路２２６巷２弄１２號八樓之２,109/05/26,1680.0,32.4,58.17,67.24%,住宅大樓(11層含以上有電梯),4.0,八層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳2衛,100.0,有,無,住家用
金門城５之９號,109/05/23,380.0,20.9,18.2,85.54%,公寓(5樓含以下無電梯),5.0,一層/三層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用
民權路２２６巷２弄１２號五樓之２,109/05/22,810.0,31.1,26.05,70.74%,住宅大樓(11層含以上有電梯),4.0,五層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,有,住家用
民權路２２６巷２弄１２號七樓之５,109/05/21,1355.0,32.4,49.69,68.44%,住宅大樓(11層含以上有電梯),4.0,七層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,無,住家用
小古崗１９之９號,109/05/19,570.0,21.8,26.09,91.93%,公寓(5樓含以下無電梯),3.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號四樓之３,109/05/18,1210.0,28.6,49.69,68.44%,住宅大樓(11層含以上有電梯),4.0,四層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100.0,有,無,住家用
浴井５５號三樓,109/05/17,615.0,19.1,32.15,73.92%,華廈(10層含以下有電梯),,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用
民權路２２６巷２弄１２號九樓之２,109/05/12,1670.0,32.4,59.4,67.21%,住宅大樓(11層含以上有電梯),4.0,九層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳2衛,100.0,有,無,住家用
珠浦西路２８巷４弄１之１號３樓,109/05/10,800.0,30.4,26.28,75.35%,公寓(5樓含以下無電梯),7.0,三層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用
東沙１３之１號二樓,109/05/05,480.0,17.0,28.31,86.74%,公寓(5樓含以下無電梯),3.0,二層/三層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用
金門城１０６之８號,109/04/28,510.0,18.2,28.04,87.02%,公寓(5樓含以下無電梯),4.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用
民權路２２６巷２弄１２號五樓之３,109/04/16,1210.0,31.2,38.77,68.44%,住宅大樓(11層含以上有電梯),3.0,五層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,無,住家用
民權路２２６巷２弄１２號五樓之５,109/04/16,1210.0,31.2,38.77,68.44%,套房(1房(1廳)1衛),3.0,五層/十一層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用
民權路２２６巷２弄１２號五樓之６,109/04/16,810.0,31.1,26.05,70.74%,住宅大樓(11層含以上有電梯),3.0,五層/十一層,房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,有,無,住家用
庵前４２之２號二樓,109/04/07,650.0,18.1,35.81,74.96%,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
中興路２０５巷１８號六樓,109/04/06,405.0,24.4,16.59,79.19%,華廈(10層含以下有電梯),9.0,六層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用
金門城６８之７號,109/04/02,444.0,19.2,23.12,92.01%,公寓(5樓含以下無電梯),3.0,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用
大古崗１２６號三樓,109/04/01,600.0,19.9,30.17,68.91%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,有,住家用
庵前４２之２號三樓,109/03/26,688.0,19.2,35.81,74.96%,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用
